Date,Location,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,Par,5,4,4,4,4,3,4,4,5,5,3,4,4,4,4,4,3,4
10/5/2020,Mount Pleasant,7,6,5,6,6,3,7,8,4,8,4,5,7,6,5,6,3,6
10/12/2020,Mount Pleasant,6,6,5,5,6,4,7,4,5,,,,,,,,,
3/29/2021,Mount Pleasant,8,6,5,6,6,4,8,6,5,6,4,6,6,6,5,5,5,5
4/12/2021,Mount Pleasant,6,6,6,6,5,5,6,6,7,8,5,5,6,5,6,6,3,6
5/10/2021,Mount Pleasant,6,5,6,8,7,5,5,6,6,7,5,7,5,6,7,6,5,6
6/7/2021,Mount Pleasant,7,8,6,6,7,5,5,5,8,7,5,6,5,6,7,5,4,6
6/21/2021,Mount Pleasant,7,6,5,7,7,5,5,6,6,8,4,8,5,6,7,6,6,6
8/2/2021,Mount Pleasant,8,7,5,7,5,3,5,5,5,9,5,6,5,6,6,5,5,6
10/4/2021,Mount Pleasant,8,6,4,7,6,3,7,8,7,6,4,7,5,5,6,7,5,5
10/11/2021,Mount Pleasant,9,7,6,5,7,4,5,7,6,7,4,7,5,6,6,7,6,6
3/21/2022,Mount Pleasant,9,5,6,7,5,6,5,5,7,8,5,7,6,7,8,5,3,5
5/16/2022,Mount Pleasant,10,7,6,6,7,4,6,7,6,,,,,,,,,
5/19/2022,Mount Pleasant,8,5,5,7,6,6,6,6,6,,,,,,,,,
9/5/2022,Mount Pleasant,10,7,6,6,6,2,7,5,5,,,,,,,,,
10/10/2022,Mount Pleasant,7,5,6,6,8,5,6,6,7,8,3,7,5,4,8,6,4,7
10/24/2022,Mount Pleasant,7,7,4,6,7,5,6,6,7,10,6,6,4,6,6,5,5,5
10/31/2022,Mount Pleasant,8,4,5,6,7,3,4,6,7,7,5,8,5,5,4,6,5,5
4/10/2023,Mount Pleasant,6,4,5,5,6,4,7,6,7,7,6,4,5,7,6,5,5,6
5/22/2023,Mount Pleasant,8,8,8,6,6,5,8,5,7,7,5,8,7,8,5,6,6,5
6/19/2023,Mount Pleasant,8,7,7,6,5,3,6,7,8,8,5,6,4,5,7,6,2,6
7/31/2023,Mount Pleasant,8,6,5,6,7,4,5,5,8,6,4,7,5,5,5,7,5,7
8/28/2023,Mount Pleasant,8,6,6,5,6,8,4,6,7,7,5,5,5,6,7,4,5,4
9/1/2023,Mount Pleasant,8,6,5,4,5,4,6,6,7,9,4,5,5,5,5,4,4,6
9/11/2023,Mount Pleasant,10,8,5,5,6,5,6,6,6,7,5,6,7,6,5,5,3,6
10/27/2023,Mount Pleasant,7,6,5,8,7,4,5,6,6,,,,,,,,,
11/6/2023,Mount Pleasant,9,6,8,7,5,5,4,3,8,8,5,8,7,6,7,4,3,6
2/26/2024,Mount Pleasant,8,6,6,6,6,4,8,4,5,7,4,5,7,5,6,7,6,6
3/25/2024,Mount Pleasant,7,6,8,5,6,6,5,6,6,7,4,7,5,6,8,6,4,7
6/3/2024,Mount Pleasant,8,8,6,6,4,4,8,4,5,7,6,6,6,4,7,7,5,5
6/24/2024,Mount Pleasant,6,7,6,5,6,4,6,5,6,8,5,5,4,8,5,4,4,6
9/2/2024,Mount Pleasant,8,7,6,6,6,5,6,5,8,10,5,6,5,6,5,7,5,7
10/7/2024,Mount Pleasant,7,6,4,4,6,3,6,6,6,10,4,6,7,8,8,6,5,6
11/4/2024,Mount Pleasant,6,5,5,6,6,3,7,6,8,7,3,7,7,8,6,6,4,7
3/24/2025,Mount Pleasant,8,5,6,5,5,5,5,6,7,,,,,,,,,
4/14/2025,Mount Pleasant,6,5,5,6,6,5,8,6,8,7,3,6,6,5,6,5,6,6
4/21/2025,Mount Pleasant,8,4,5,5,5,4,4,7,6,8,4,5,6,6,6,5,5,5
5/5/2025,Mount Pleasant,8,7,6,7,6,4,6,6,6,,,,,,,,,
5/19/2025,Mount Pleasant,7,6,8,6,6,4,7,4,6,6,4,5,5,4,7,5,5,6
6/15/2025,Mount Pleasant,8,6,7,6,6,4,5,5,6,,,,,,,,,
7/14/2025,Mount Pleasant,7,6,4,6,6,5,5,5,8,,,,,,,,,
7/28/2025,Mount Pleasant,7,4,4,6,6,3,6,5,7,9,4,7,5,4,6,7,4,6
8/25/2025,Mount Pleasant,6,5,6,6,5,3,5,5,6,7,4,6,5,5,7,5,4,6
9/29/2025,Mount Pleasant,7,6,4,6,6,3,5,6,5,,,,,,,,,
10/6/2025,Mount Pleasant,7,5,5,6,7,5,6,5,6,7,5,6,6,6,4,4,6,6
10/20/2025,Mount Pleasant,9,4,7,7,7,4,6,6,6,7,6,5,5,5,8,5,5,8
11/3/2025,Mount Pleasant,10,5,4,6,7,2,8,4,6,,,,,,,,,
5/4/2026,Mount Pleasant,7,5,6,6,7,4,4,5,6,,,,,,,,,
5/18/2026,Mount Pleasant,10,6,5,6,6,4,5,6,5,,,,,,,,,
6/25/2026,Mount Pleasant,6,4,4,5,5,4,8,5,7,,,,,,,,,
6/29/2026,Mount Pleasant,8,4,6,8,6,4,4,6,7,,,,,,,,,
7/13/2026,Mount Pleasant,8,5,6,5,5,4,5,6,6,,,,,,,,,
7/27/2026,Mount Pleasant,10,3,8,8,5,3,4,6,6,,,,,,,,,
