Date,Location,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
10/19/2020,Pine Ridge,8,5,7,4,7,7,7,5,9,6,7,5,6,5,8,6,4,6
11/2/2020,Pine Ridge,6,7,8,5,6,8,4,8,7,5,7,8,6,6,6,8,5,6
11/9/2020,Pine Ridge,6,6,5,3,6,5,6,6,7,7,6,6,7,5,7,6,4,8
11/16/2020,Pine Ridge,6,6,7,6,8,6,5,3,7,6,6,6,7,5,7,5,4,8
11/23/2020,Pine Ridge,8,5,7,6,8,7,5,5,7,5,5,6,6,5,7,7,5,6
12/3/2020,Pine Ridge,7,5,6,4,8,8,5,5,7,,,,,,,,,
12/7/2020,Pine Ridge,6,7,6,5,10,6,7,6,7,7,7,7,7,6,5,6,4,7
12/28/2020,Pine Ridge,8,7,6,5,6,5,6,5,7,5,6,6,6,6,6,4,6,8
1/4/2021,Pine Ridge,6,4,8,3,9,5,4,6,7,7,6,8,7,4,7,4,5,7
1/11/2021,Pine Ridge,8,6,7,6,8,7,6,4,7,7,5,6,6,4,6,4,5,8
1/18/2021,Pine Ridge,8,8,8,4,10,7,5,4,7,5,6,7,7,5,5,5,4,8
1/25/2021,Pine Ridge,8,5,8,4,6,5,6,5,8,,,,,,,,,
3/8/2021,Pine Ridge,7,4,6,5,7,7,5,5,6,8,7,6,5,6,7,7,4,6
3/15/2021,Pine Ridge,7,6,7,3,7,5,7,3,6,7,6,5,8,4,7,5,5,6
3/22/2021,Pine Ridge,6,8,7,5,6,7,8,6,7,7,7,7,6,5,6,6,5,8
4/5/2021,Pine Ridge,7,7,5,3,7,8,5,3,7,7,6,6,7,4,7,5,4,8
4/19/2021,Pine Ridge,6,7,6,5,10,7,6,4,8,6,5,7,6,5,8,6,3,7
5/3/2021,Pine Ridge,6,7,8,4,6,6,4,4,7,5,7,6,7,4,8,5,5,7
5/17/2021,Pine Ridge,8,7,7,4,8,7,5,5,7,5,6,8,6,6,6,7,5,8
5/31/2021,Pine Ridge,8,4,7,6,7,6,8,3,7,6,5,7,5,4,6,7,6,6
6/14/2021,Pine Ridge,8,7,7,3,6,7,5,3,8,6,7,7,5,3,6,4,4,7
